Freq[Hz]        [dBSPL]         Phase[Deg]
821.58          71.55           102.13
824.96          71.54           93.88
828.35          71.51           85.79
831.76          71.49           77.52
835.18          71.46           69.40
838.62          71.44           61.42
842.06          71.39           53.40
845.53          71.34           45.61
849.01          71.34           37.62
852.50          71.30           30.01
856.01          71.27           22.41
859.53          71.22           14.94
863.06          71.22           7.33
866.61          71.21           -0.21
870.18          71.23           -8.16
873.76          71.22           -16.22
877.35          71.22           -24.22
880.96          71.23           -32.32
884.58          71.27           -40.65
888.22          71.29           -48.97
891.87          71.25           -57.56
895.54          71.23           -65.98
899.23          71.20           -74.55
902.93          71.11           -83.14
906.64          71.04           -91.83
910.37          70.95           -100.59
914.11          70.86           -109.27
917.87          70.76           -118.05
921.65          70.66           -126.78
925.44          70.56           -135.36
929.25          70.45           -143.87
933.07          70.30           -152.28
936.91          70.14           -160.78
940.76          69.95           -169.27
944.63          69.82           -177.75
948.52          69.72           174.04
952.42          69.58           165.73
956.33          69.48           157.43
960.27          69.38           149.23
964.22          69.28           141.08
