Freq[Hz]        [dBSPL]         Phase[Deg]
67.73           78.75           -41.06
68.00           78.90           -43.61
68.28           79.05           -46.22
68.56           79.19           -48.90
68.85           79.33           -51.70
69.13           79.47           -54.60
69.41           79.61           -57.62
69.70           79.74           -60.73
69.99           79.87           -63.89
70.27           79.97           -67.10
70.56           80.06           -70.33
70.85           80.13           -73.59
71.14           80.17           -76.87
71.44           80.19           -80.18
71.73           80.17           -83.53
72.03           80.14           -86.93
72.32           80.08           -90.39
72.62           80.00           -93.91
72.92           79.91           -97.50
73.22           79.81           -101.16
73.52           79.69           -104.89
73.82           79.56           -108.68
74.13           79.39           -112.53
74.43           79.19           -116.42
74.74           78.95           -120.32
75.04           78.68           -124.23
75.35           78.38           -128.12
75.66           78.06           -131.99
75.97           77.74           -135.79
76.29           77.42           -139.51
76.60           77.12           -143.08
76.92           76.81           -146.45
77.23           76.50           -149.56
77.55           76.15           -152.37
77.87           75.78           -154.87
78.19           75.38           -157.08
78.51           74.95           -159.05
78.83           74.52           -160.84
79.16           74.11           -162.47
79.48           73.72           -163.96
79.81           73.35           -165.30
80.14           72.98           -166.50
80.47           72.59           -167.55
80.80           72.16           -168.47
81.13           71.70           -169.32
81.47           71.19           -170.15
81.80           70.68           -171.02
82.14           70.19           -171.98
82.47           69.74           -173.00
82.81           69.35           -174.02
83.15           69.01           -174.98
83.50           68.69           -175.82
83.84           68.37           -176.52
84.19           68.06           -177.12
84.53           67.77           -177.69
84.88           67.53           -178.24
85.23           67.34           -178.75
85.58           67.24           -179.15
85.93           67.20           -179.37
86.28           67.22           -179.38
86.64           67.23           -179.25
87.00           67.21           -179.13
87.35           67.12           -179.19
87.71           66.98           -179.51
88.07           66.80           179.93
88.44           66.65           179.26
88.80           66.59           178.67
89.16           66.65           178.29
89.53           66.82           178.18
89.90           67.00           178.28
90.27           67.12           178.44
90.64           67.16           178.52
91.01           67.13           178.35
91.39           67.08           177.81
91.76           67.04           176.92
92.14           67.03           175.77
92.52           67.09           174.60
92.90           67.16           173.65
93.28           67.23           173.01
93.67           67.28           172.57
94.05           67.27           172.07
94.44           67.21           171.18
94.83           67.05           169.75
95.22           66.82           167.79
95.61           66.60           165.49
96.00           66.49           163.06
96.40           66.50           160.68
96.79           66.59           158.47
97.19           66.68           156.50
97.59           66.71           154.72
97.99           66.66           152.97
98.40           66.53           150.94
98.80           66.37           148.34
99.21           66.22           145.10
99.62           66.11           141.39
100.03          66.05           137.57
100.44          66.03           133.99
100.85          66.06           130.88
101.26          66.11           128.28
101.68          66.15           126.09
102.10          66.15           124.10
102.52          66.09           122.00
102.94          65.97           119.46
103.36          65.82           116.31
103.79          65.68           112.68
104.22          65.59           108.94
104.65          65.59           105.48
105.08          65.67           102.53
105.51          65.78           99.96
105.94          65.87           97.43
106.38          65.91           94.60
106.82          65.91           91.29
107.25          65.87           87.52
107.70          65.82           83.32
108.14          65.78           78.76
108.58          65.74           73.90
109.03          65.70           68.92
109.48          65.68           64.00
109.93          65.69           59.19
110.38          65.73           54.39
110.84          65.79           49.38
111.29          65.84           44.01
111.75          65.90           38.30
112.21          65.97           32.38
112.67          66.07           26.30
113.13          66.21           20.06
113.60          66.35           13.63
114.07          66.48           7.06
114.54          66.60           0.48
115.01          66.71           -6.04
115.48          66.83           -12.45
115.95          66.97           -18.80
116.43          67.12           -25.08
116.91          67.28           -31.29
117.39          67.43           -37.41
117.87          67.59           -43.47
118.36          67.76           -49.54
118.85          67.97           -55.65
119.33          68.20           -61.77
119.83          68.44           -67.76
120.32          68.64           -73.51
120.81          68.82           -78.96
121.31          68.97           -84.19
121.81          69.12           -89.31
122.31          69.26           -94.48
122.81          69.40           -99.83
123.32          69.52           -105.38
123.83          69.65           -111.10
124.34          69.78           -116.88
124.85          69.92           -122.57
125.36          70.06           -127.99
125.88          70.19           -132.96
126.39          70.31           -137.48
126.91          70.38           -141.67
127.44          70.43           -145.74
127.96          70.48           -149.87
128.49          70.53           -154.23
129.01          70.60           -158.94
129.55          70.66           -163.89
130.08          70.72           -168.79
130.61          70.76           -173.37
131.15          70.82           -177.62
131.69          70.88           178.35
132.23          70.95           174.46
132.78          70.96           170.76
133.32          70.92           167.18
133.87          70.83           163.46
134.42          70.72           159.38
134.97          70.62           155.04
135.53          70.55           150.75
136.09          70.50           146.79
136.65          70.45           143.15
137.21          70.39           139.62
137.77          70.31           135.94
138.34          70.21           132.00
138.91          70.08           127.90
139.48          69.92           123.85
140.05          69.72           120.04
140.63          69.49           116.43
141.21          69.29           112.82
141.79          69.13           109.07
142.37          68.98           105.38
142.96          68.80           102.09
143.55          68.57           99.27
144.14          68.31           96.61
144.73          68.07           93.85
145.32          67.84           91.03
145.92          67.60           88.40
146.52          67.34           86.12
147.13          67.07           84.18
147.73          66.81           82.44
148.34          66.56           80.78
148.95          66.33           79.12
149.56          66.12           77.29
150.18          65.90           75.21
150.79          65.69           73.11
151.41          65.52           71.41
152.04          65.41           70.14
152.66          65.30           68.94
153.29          65.14           67.51
153.92          64.89           65.90
154.55          64.57           64.24
155.19          64.23           62.68
155.83          63.94           61.33
156.47          63.75           60.25
157.11          63.60           59.39
157.76          63.46           58.68
158.41          63.28           57.98
159.06          63.11           57.30
159.71          62.98           56.78
160.37          62.91           56.38
161.03          62.85           55.90
161.69          62.77           55.38
162.36          62.67           54.93
163.03          62.60           54.47
163.70          62.57           53.96
164.37          62.58           53.48
165.05          62.62           53.05
165.72          62.63           52.60
166.41          62.60           52.01
167.09          62.55           51.13
167.78          62.50           49.94
168.47          62.43           48.65
169.16          62.37           47.49
169.86          62.33           46.67
170.56          62.33           46.18
171.26          62.29           45.67
171.96          62.22           44.74
172.67          62.24           43.41
173.38          62.40           41.64
174.09          62.51           38.69
174.81          62.48           34.54
175.53          62.42           31.16
176.25          62.51           29.90
176.97          62.65           29.73
177.70          62.69           29.33
178.43          62.74           28.37
179.17          62.89           27.00
179.90          63.13           25.61
180.64          63.36           24.27
181.39          63.42           22.74
182.13          63.44           20.88
182.88          63.53           18.67
183.63          63.66           16.44
184.39          63.74           14.98
185.15          63.84           15.23
185.91          63.98           16.80
186.67          64.06           17.47
187.44          64.02           15.84
188.21          63.98           13.08
188.99          64.03           10.72
189.76          64.08           9.17
190.55          64.05           8.06
191.33          63.92           6.60
192.12          63.75           4.48
192.91          63.70           2.21
193.70          63.73           0.24
194.50          63.70           -1.31
195.30          63.57           -2.63
196.10          63.40           -4.16
196.91          63.28           -6.07
197.72          63.24           -8.17
198.53          63.26           -10.25
199.35          63.24           -12.21
200.17          63.15           -14.12
200.99          63.06           -16.48
201.82          63.06           -19.38
202.65          63.02           -21.74
203.48          62.91           -22.73
204.32          62.77           -23.06
205.16          62.60           -23.28
206.00          62.45           -23.20
206.85          62.41           -22.70
207.70          62.47           -21.92
208.55          62.50           -21.07
209.41          62.54           -20.46
210.27          62.71           -20.27
211.14          63.01           -20.18
212.01          63.29           -20.05
212.88          63.58           -20.38
213.75          63.86           -21.04
214.63          64.16           -21.67
215.52          64.48           -22.84
216.40          64.79           -24.86
217.29          65.05           -27.19
218.19          65.29           -29.92
219.08          65.53           -33.49
219.99          65.72           -37.50
220.89          65.86           -41.61
221.80          65.99           -45.78
222.71          66.12           -49.92
223.63          66.19           -53.68
224.55          66.15           -57.05
225.47          66.09           -60.44
226.40          66.06           -63.69
227.33          66.00           -66.57
228.26          65.87           -68.76
229.20          65.72           -70.62
230.15          65.59           -73.12
231.09          65.51           -75.66
232.04          65.47           -77.32
233.00          65.37           -78.53
233.96          65.23           -80.44
234.92          65.12           -83.13
235.88          65.08           -85.37
236.86          65.05           -86.69
237.83          64.97           -87.59
238.81          64.93           -88.80
239.79          64.96           -90.31
240.78          65.03           -91.82
241.77          65.09           -93.35
242.76          65.13           -95.52
243.76          65.21           -98.10
244.76          65.37           -99.97
245.77          65.48           -101.69
246.78          65.51           -103.91
247.80          65.57           -106.35
248.81          65.66           -108.59
249.84          65.77           -110.46
250.87          65.84           -112.92
251.90          65.88           -116.10
252.93          65.93           -118.87
253.97          65.96           -121.72
255.02          65.94           -125.06
256.07          65.89           -128.15
257.12          65.85           -130.91
258.18          65.84           -133.66
259.24          65.83           -136.58
260.31          65.77           -139.38
261.38          65.71           -142.29
262.45          65.64           -145.54
263.53          65.59           -148.79
264.62          65.58           -151.45
265.70          65.49           -153.86
266.80          65.32           -156.58
267.90          65.14           -159.30
269.00          64.99           -161.98
270.10          64.85           -164.75
271.21          64.70           -166.97
272.33          64.53           -168.88
273.45          64.37           -170.59
274.58          64.21           -172.13
275.70          64.01           -173.59
276.84          63.74           -175.11
277.98          63.52           -176.48
279.12          63.47           -177.73
280.27          63.32           -178.46
281.42          63.12           -179.18
282.58          63.04           180.00
283.74          63.11           179.52
284.91          63.28           179.24
286.08          63.37           178.66
287.26          63.54           178.02
288.44          63.71           177.38
289.63          63.93           175.84
290.82          64.25           173.23
292.01          64.56           171.05
293.21          64.86           170.09
294.42          65.16           168.26
295.63          65.49           166.03
296.85          65.76           164.24
298.07          66.02           161.87
299.29          66.30           158.78
300.53          66.61           155.65
301.76          66.87           152.74
303.00          67.10           149.47
304.25          67.38           145.82
305.50          67.61           142.39
306.76          67.86           138.86
308.02          68.10           135.71
309.29          68.29           133.03
310.56          68.47           129.68
311.84          68.58           125.40
313.12          68.72           121.67
314.41          68.86           117.78
315.70          68.93           113.56
317.00          69.07           109.10
318.30          69.22           105.01
319.61          69.32           100.94
320.93          69.41           96.70
322.25          69.47           92.83
323.57          69.50           88.88
324.90          69.54           84.82
326.24          69.56           80.89
327.58          69.55           76.71
328.93          69.59           72.52
330.28          69.59           68.75
331.64          69.62           64.56
333.00          69.67           60.70
334.37          69.63           56.97
335.75          69.63           53.26
337.13          69.59           49.36
338.52          69.53           45.54
339.91          69.53           41.84
341.31          69.43           38.15
342.71          69.39           34.11
344.12          69.39           30.35
345.54          69.32           26.56
346.96          69.28           22.60
348.38          69.28           18.58
349.82          69.20           14.89
351.26          69.12           10.87
352.70          69.05           6.92
354.15          68.95           2.52
355.61          68.93           -1.66
357.07          68.91           -5.59
358.54          68.83           -9.32
360.02          68.73           -12.98
361.50          68.58           -17.18
362.98          68.57           -21.18
364.48          68.49           -24.84
365.98          68.34           -28.72
367.48          68.27           -32.22
368.99          68.13           -35.76
370.51          67.96           -38.81
372.03          67.85           -42.38
373.56          67.71           -45.49
375.10          67.59           -48.58
376.64          67.48           -51.33
378.19          67.31           -54.19
379.75          67.14           -57.69
381.31          67.05           -60.91
382.88          66.92           -64.08
384.45          66.82           -66.74
386.04          66.72           -69.52
387.62          66.55           -72.10
389.22          66.48           -74.93
390.82          66.34           -78.81
392.43          66.30           -81.93
394.04          66.19           -85.36
395.66          66.08           -88.13
397.29          66.04           -91.03
398.92          65.98           -94.40
400.56          65.88           -97.95
402.21          65.85           -101.53
403.87          65.88           -104.37
405.53          65.72           -107.87
407.20          65.61           -110.36
408.87          65.54           -114.55
410.55          65.39           -118.06
412.24          65.34           -121.95
413.94          65.20           -125.79
415.64          65.17           -128.65
417.35          65.08           -131.79
419.07          64.98           -134.95
420.79          64.89           -138.36
422.52          64.83           -142.02
424.26          64.76           -145.23
426.00          64.68           -148.76
427.76          64.54           -151.85
429.51          64.36           -155.03
431.28          64.44           -157.91
433.06          64.49           -161.62
434.84          64.35           -163.47
436.63          64.37           -166.23
438.42          64.34           -169.35
440.22          64.28           -171.38
442.04          64.24           -173.93
443.85          64.24           -176.56
445.68          64.32           -179.59
447.51          64.45           177.44
449.35          64.50           174.50
451.20          64.57           171.63
453.06          64.74           169.33
454.92          64.90           166.77
456.79          65.07           163.31
458.67          65.23           160.16
460.56          65.42           156.70
462.45          65.70           152.67
464.35          65.84           148.78
466.26          66.09           145.32
468.18          66.27           140.46
470.11          66.46           136.23
472.04          66.65           131.57
473.98          66.80           127.18
475.93          66.92           122.52
477.89          67.05           117.58
479.86          67.17           112.52
481.83          67.26           107.47
483.81          67.28           102.02
485.80          67.35           97.09
487.80          67.44           92.00
489.81          67.44           87.52
491.82          67.44           82.67
493.85          67.40           77.51
495.88          67.35           72.53
497.92          67.33           68.13
499.96          67.26           63.34
502.02          67.20           58.53
504.09          67.12           54.21
506.16          67.05           50.11
508.24          67.06           46.29
510.33          66.99           42.86
512.43          66.87           39.30
514.54          66.90           35.73
516.66          66.88           32.36
518.78          66.79           29.15
520.91          66.81           25.15
523.06          66.86           21.51
525.21          66.97           18.70
527.37          67.03           15.48
529.54          67.13           12.46
531.72          67.30           9.39
533.90          67.46           6.36
536.10          67.70           2.98
